state,age_group,gender,race,cause_of_death,deaths,population
Colorado,75-84 years,Male,White,Other interstitial pulmonary diseases with fibrosis,33.0,83919.0
Colorado,75-84 years,Male,White,"Interstitial pulmonary disease, unspecified",25.0,83919.0
Colorado,75-84 years,Male,White,Chronic respiratory failure,10.0,83919.0
Colorado,75-84 years,Male,White,Other and unspecified intestinal obstruction,10.0,83919.0
Colorado,75-84 years,Male,White,Other and unspecified cirrhosis of liver,22.0,83919.0
Colorado,75-84 years,Male,White,"Gastrointestinal haemorrhage, unspecified",10.0,83919.0
Colorado,75-84 years,Male,White,"Acute renal failure, unspecified",10.0,83919.0
Colorado,75-84 years,Male,White,"Chronic kidney disease, stage 5",29.0,83919.0
Colorado,75-84 years,Male,White,"Chronic renal failure, unspecified",13.0,83919.0
Colorado,75-84 years,Male,White,Unspecified renal failure,10.0,83919.0
Colorado,75-84 years,Male,White,"Urinary tract infection, site not specified",21.0,83919.0
Colorado,75-84 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",12.0,83919.0
Colorado,75-84 years,Male,White,Other fall on same level,24.0,83919.0
Colorado,75-84 years,Male,White,Unspecified fall,45.0,83919.0
Colorado,75-84 years,Male,White,Exposure to unspecified factor causing other and unspecified injury,11.0,83919.0
Colorado,75-84 years,Male,White,Intentional self-harm by handgun discharge,18.0,83919.0
Colorado,75-84 years,Male,White,Intentional self-harm by other and unspecified firearm discharge,14.0,83919.0
Colorado,85+ years,Female,Asian or Pacific Islander,Unspecified dementia,11.0,1335.0
Colorado,85+ years,Female,Asian or Pacific Islander,"Alzheimer disease, unspecified",13.0,1335.0
Colorado,85+ years,Female,Black or African American,Unspecified dementia,16.0,1346.0
Colorado,85+ years,Female,Black or African American,"Alzheimer disease, unspecified",11.0,1346.0
Colorado,85+ years,Female,Black or African American,"Acute myocardial infarction, unspecified",12.0,1346.0
Colorado,85+ years,Female,White,Enterocolitis due to Clostridium difficile,15.0,52178.0
Colorado,85+ years,Female,White,"Septicaemia, unspecified",67.0,52178.0
Colorado,85+ years,Female,White,"Colon, unspecified - Malignant neoplasms",55.0,52178.0
Colorado,85+ years,Female,White,"Pancreas, unspecified - Malignant neoplasms",51.0,52178.0
Colorado,85+ years,Female,White,"Bronchus or lung, unspecified - Malignant neoplasms",128.0,52178.0
Colorado,85+ years,Female,White,"Malignant melanoma of skin, unspecified - Malignant neoplasms",11.0,52178.0
Colorado,85+ years,Female,White,"Breast, unspecified - Malignant neoplasms",95.0,52178.0
Colorado,85+ years,Female,White,Malignant neoplasm of ovary,19.0,52178.0
Colorado,85+ years,Female,White,"Malignant neoplasm of kidney, except renal pelvis",12.0,52178.0
Colorado,85+ years,Female,White,"Bladder, unspecified - Malignant neoplasms",21.0,52178.0
Colorado,85+ years,Female,White,Malignant neoplasm without specification of site,44.0,52178.0
Colorado,85+ years,Female,White,"Non-Hodgkin lymphoma, unspecified type",16.0,52178.0
Colorado,85+ years,Female,White,Multiple myeloma - Malignant neoplasms,14.0,52178.0
Colorado,85+ years,Female,White,Chronic lymphocytic leukaemia - Malignant neoplasms,16.0,52178.0
Colorado,85+ years,Female,White,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",19.0,52178.0
Colorado,85+ years,Female,White,"Non-insulin-dependent diabetes mellitus, with renal complications",13.0,52178.0
Colorado,85+ years,Female,White,"Non-insulin-dependent diabetes mellitus, without complications",27.0,52178.0
Colorado,85+ years,Female,White,"Unspecified diabetes mellitus, with renal complications",16.0,52178.0
Colorado,85+ years,Female,White,"Unspecified diabetes mellitus, without complications",29.0,52178.0
Colorado,85+ years,Female,White,Unspecified severe protein-energy malnutrition,12.0,52178.0
Colorado,85+ years,Female,White,Unspecified protein-energy malnutrition,60.0,52178.0
Colorado,85+ years,Female,White,"Hyperlipidaemia, unspecified",11.0,52178.0
Colorado,85+ years,Female,White,Volume depletion,10.0,52178.0
Colorado,85+ years,Female,White,"Vascular dementia, unspecified",140.0,52178.0
Colorado,85+ years,Female,White,Unspecified dementia,578.0,52178.0
Colorado,85+ years,Female,White,Parkinson disease,88.0,52178.0
Colorado,85+ years,Female,White,Alzheimer disease with late onset,59.0,52178.0
Colorado,85+ years,Female,White,"Alzheimer disease, unspecified",802.0,52178.0
Colorado,85+ years,Female,White,Circumscribed brain atrophy,10.0,52178.0
Colorado,85+ years,Female,White,"Senile degeneration of brain, not elsewhere classified",37.0,52178.0
Colorado,85+ years,Female,White,Other specified degenerative diseases of nervous system,22.0,52178.0
Colorado,85+ years,Female,White,Essential (primary) hypertension,36.0,52178.0
Colorado,85+ years,Female,White,Hypertensive heart disease with (congestive) heart failure,54.0,52178.0
Colorado,85+ years,Female,White,Hypertensive heart disease without (congestive) heart failure,34.0,52178.0
Colorado,85+ years,Female,White,Hypertensive renal disease with renal failure,40.0,52178.0
Colorado,85+ years,Female,White,Acute subendocardial myocardial infarction,12.0,52178.0
Colorado,85+ years,Female,White,"Acute myocardial infarction, unspecified",162.0,52178.0
Colorado,85+ years,Female,White,"Atherosclerotic cardiovascular disease, so described",95.0,52178.0
Colorado,85+ years,Female,White,Atherosclerotic heart disease,320.0,52178.0
Colorado,85+ years,Female,White,Ischaemic cardiomyopathy,21.0,52178.0
Colorado,85+ years,Female,White,"Chronic ischaemic heart disease, unspecified",26.0,52178.0
Colorado,85+ years,Female,White,Pulmonary embolism without mention of acute cor pulmonale,13.0,52178.0
Colorado,85+ years,Female,White,Other secondary pulmonary hypertension,58.0,52178.0
Colorado,85+ years,Female,White,Mitral (valve) insufficiency,14.0,52178.0
Colorado,85+ years,Female,White,Aortic (valve) stenosis,76.0,52178.0
Colorado,85+ years,Female,White,"Endocarditis, valve unspecified",38.0,52178.0
Colorado,85+ years,Female,White,"Cardiomyopathy, unspecified",18.0,52178.0
Colorado,85+ years,Female,White,"Cardiac arrest, unspecified",10.0,52178.0
Colorado,85+ years,Female,White,Atrial fibrillation and flutter,153.0,52178.0
Colorado,85+ years,Female,White,"Cardiac arrhythmia, unspecified",11.0,52178.0
Colorado,85+ years,Female,White,Congestive heart failure,260.0,52178.0
Colorado,85+ years,Female,White,"Heart failure, unspecified",70.0,52178.0
Colorado,85+ years,Female,White,"Cardiovascular disease, unspecified",14.0,52178.0
Colorado,85+ years,Female,White,"Intracerebral haemorrhage, unspecified",28.0,52178.0
Colorado,85+ years,Female,White,"Intracranial haemorrhage (nontraumatic), unspecified",14.0,52178.0
Colorado,85+ years,Female,White,Cerebral infarction due to embolism of cerebral arteries,11.0,52178.0
Colorado,85+ years,Female,White,"Cerebral infarction, unspecified",35.0,52178.0
Colorado,85+ years,Female,White,"Stroke, not specified as haemorrhage or infarction",269.0,52178.0
Colorado,85+ years,Female,White,Cerebral atherosclerosis,47.0,52178.0
Colorado,85+ years,Female,White,"Cerebrovascular disease, unspecified",55.0,52178.0
Colorado,85+ years,Female,White,"Sequelae of stroke, not specified as haemorrhage or infarction",54.0,52178.0
Colorado,85+ years,Female,White,Sequelae of other and unspecified cerebrovascular diseases,56.0,52178.0
Colorado,85+ years,Female,White,Generalized and unspecified atherosclerosis,22.0,52178.0
Colorado,85+ years,Female,White,"Abdominal aortic aneurysm, ruptured",12.0,52178.0
Colorado,85+ years,Female,White,"Peripheral vascular disease, unspecified",26.0,52178.0
Colorado,85+ years,Female,White,"Pneumonia, unspecified",133.0,52178.0
Colorado,85+ years,Female,White,"Emphysema, unspecified",12.0,52178.0
Colorado,85+ years,Female,White,Chronic obstructive pulmonary disease with acute lower respiratory infection,49.0,52178.0
Colorado,85+ years,Female,White,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",13.0,52178.0
Colorado,85+ years,Female,White,"Chronic obstructive pulmonary disease, unspecified",342.0,52178.0
Colorado,85+ years,Female,White,Pneumonitis due to food and vomit,72.0,52178.0
Colorado,85+ years,Female,White,Other interstitial pulmonary diseases with fibrosis,21.0,52178.0
Colorado,85+ years,Female,White,"Interstitial pulmonary disease, unspecified",18.0,52178.0
Colorado,85+ years,Female,White,Chronic respiratory failure,12.0,52178.0
Colorado,85+ years,Female,White,"Vascular disorder of intestine, unspecified",18.0,52178.0
Colorado,85+ years,Female,White,Other and unspecified intestinal obstruction,28.0,52178.0
Colorado,85+ years,Female,White,Perforation of intestine (nontraumatic),10.0,52178.0
Colorado,85+ years,Female,White,"Gastrointestinal haemorrhage, unspecified",46.0,52178.0
Colorado,85+ years,Female,White,Unspecified osteoporosis with pathological fracture,10.0,52178.0
Colorado,85+ years,Female,White,"Acute renal failure, unspecified",16.0,52178.0
Colorado,85+ years,Female,White,"Chronic kidney disease, stage 5",21.0,52178.0
Colorado,85+ years,Female,White,"Chronic renal failure, unspecified",32.0,52178.0
Colorado,85+ years,Female,White,Unspecified renal failure,20.0,52178.0
Colorado,85+ years,Female,White,"Urinary tract infection, site not specified",40.0,52178.0
Colorado,85+ years,Female,White,Senility,37.0,52178.0
Colorado,85+ years,Female,White,Other lack of expected normal physiological development,14.0,52178.0
Colorado,85+ years,Female,White,"Fall on same level from slipping, tripping and stumbling",12.0,52178.0
Colorado,85+ years,Female,White,Fall involving wheelchair,12.0,52178.0
Colorado,85+ years,Female,White,Other fall on same level,94.0,52178.0
Colorado,85+ years,Female,White,Unspecified fall,162.0,52178.0
Colorado,85+ years,Female,White,Inhalation and ingestion of other objects causing obstruction of respiratory tract,10.0,52178.0
Colorado,85+ years,Female,White,Exposure to unspecified factor causing fracture,29.0,52178.0
Colorado,85+ years,Male,Black or African American,Malignant neoplasm of prostate,10.0,718.0
Colorado,85+ years,Male,White,"Septicaemia, unspecified",60.0,29034.0
Colorado,85+ years,Male,White,"Oesophagus, unspecified - Malignant neoplasms",14.0,29034.0
Colorado,85+ years,Male,White,"Colon, unspecified - Malignant neoplasms",45.0,29034.0
Colorado,85+ years,Male,White,"Pancreas, unspecified - Malignant neoplasms",34.0,29034.0
Colorado,85+ years,Male,White,"Bronchus or lung, unspecified - Malignant neoplasms",102.0,29034.0
Colorado,85+ years,Male,White,"Malignant melanoma of skin, unspecified - Malignant neoplasms",14.0,29034.0
Colorado,85+ years,Male,White,Malignant neoplasm of prostate,180.0,29034.0
Colorado,85+ years,Male,White,"Malignant neoplasm of kidney, except renal pelvis",20.0,29034.0
Colorado,85+ years,Male,White,"Bladder, unspecified - Malignant neoplasms",40.0,29034.0
Colorado,85+ years,Male,White,Malignant neoplasm without specification of site,49.0,29034.0
Colorado,85+ years,Male,White,"Non-Hodgkin lymphoma, unspecified type",11.0,29034.0
Colorado,85+ years,Male,White,Multiple myeloma - Malignant neoplasms,13.0,29034.0
Colorado,85+ years,Male,White,Chronic lymphocytic leukaemia - Malignant neoplasms,13.0,29034.0
Colorado,85+ years,Male,White,Acute myeloid leukaemia - Malignant neoplasms,21.0,29034.0
Colorado,85+ years,Male,White,Malignant neoplasms of independent (primary) multiple sites,16.0,29034.0
Colorado,85+ years,Male,White,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",16.0,29034.0
Colorado,85+ years,Male,White,"Non-insulin-dependent diabetes mellitus, with renal complications",10.0,29034.0
Colorado,85+ years,Male,White,"Unspecified diabetes mellitus, with renal complications",17.0,29034.0
Colorado,85+ years,Male,White,"Unspecified diabetes mellitus, without complications",22.0,29034.0
Colorado,85+ years,Male,White,Unspecified protein-energy malnutrition,23.0,29034.0
Colorado,85+ years,Male,White,"Hyperlipidaemia, unspecified",10.0,29034.0
Colorado,85+ years,Male,White,"Vascular dementia, unspecified",46.0,29034.0
Colorado,85+ years,Male,White,Unspecified dementia,255.0,29034.0
Colorado,85+ years,Male,White,Parkinson disease,128.0,29034.0
Colorado,85+ years,Male,White,Alzheimer disease with late onset,21.0,29034.0
Colorado,85+ years,Male,White,"Alzheimer disease, unspecified",319.0,29034.0
Colorado,85+ years,Male,White,"Senile degeneration of brain, not elsewhere classified",11.0,29034.0
Colorado,85+ years,Male,White,Essential (primary) hypertension,14.0,29034.0
Colorado,85+ years,Male,White,Hypertensive heart disease with (congestive) heart failure,33.0,29034.0
Colorado,85+ years,Male,White,Hypertensive renal disease with renal failure,24.0,29034.0
Colorado,85+ years,Male,White,Acute subendocardial myocardial infarction,10.0,29034.0
Colorado,85+ years,Male,White,"Acute myocardial infarction, unspecified",127.0,29034.0
Colorado,85+ years,Male,White,"Atherosclerotic cardiovascular disease, so described",81.0,29034.0
Colorado,85+ years,Male,White,Atherosclerotic heart disease,366.0,29034.0
Colorado,85+ years,Male,White,Ischaemic cardiomyopathy,25.0,29034.0
Colorado,85+ years,Male,White,"Chronic ischaemic heart disease, unspecified",26.0,29034.0
Colorado,85+ years,Male,White,Other secondary pulmonary hypertension,17.0,29034.0
Colorado,85+ years,Male,White,Aortic (valve) stenosis,52.0,29034.0
Colorado,85+ years,Male,White,"Endocarditis, valve unspecified",12.0,29034.0
Colorado,85+ years,Male,White,"Cardiomyopathy, unspecified",24.0,29034.0
Colorado,85+ years,Male,White,Atrial fibrillation and flutter,79.0,29034.0
Colorado,85+ years,Male,White,Congestive heart failure,162.0,29034.0
Colorado,85+ years,Male,White,"Heart failure, unspecified",52.0,29034.0
Colorado,85+ years,Male,White,"Intracerebral haemorrhage, unspecified",13.0,29034.0
Colorado,85+ years,Male,White,Subdural haemorrhage (acute)(nontraumatic),11.0,29034.0
Colorado,85+ years,Male,White,"Intracranial haemorrhage (nontraumatic), unspecified",13.0,29034.0
Colorado,85+ years,Male,White,"Cerebral infarction, unspecified",18.0,29034.0
Colorado,85+ years,Male,White,"Stroke, not specified as haemorrhage or infarction",90.0,29034.0
Colorado,85+ years,Male,White,Cerebral atherosclerosis,24.0,29034.0
Colorado,85+ years,Male,White,"Cerebrovascular disease, unspecified",21.0,29034.0
Colorado,85+ years,Male,White,"Sequelae of stroke, not specified as haemorrhage or infarction",35.0,29034.0
Colorado,85+ years,Male,White,Sequelae of other and unspecified cerebrovascular diseases,18.0,29034.0
Colorado,85+ years,Male,White,"Abdominal aortic aneurysm, without mention of rupture",11.0,29034.0
Colorado,85+ years,Male,White,"Peripheral vascular disease, unspecified",11.0,29034.0
Colorado,85+ years,Male,White,"Pneumonia, unspecified",65.0,29034.0
Colorado,85+ years,Male,White,Chronic obstructive pulmonary disease with acute lower respiratory infection,45.0,29034.0
Colorado,85+ years,Male,White,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",10.0,29034.0
Colorado,85+ years,Male,White,"Chronic obstructive pulmonary disease, unspecified",251.0,29034.0
Colorado,85+ years,Male,White,Pneumonitis due to food and vomit,64.0,29034.0
Colorado,85+ years,Male,White,Other interstitial pulmonary diseases with fibrosis,21.0,29034.0
Colorado,85+ years,Male,White,"Interstitial pulmonary disease, unspecified",17.0,29034.0
Colorado,85+ years,Male,White,"Vascular disorder of intestine, unspecified",11.0,29034.0
Colorado,85+ years,Male,White,Other and unspecified intestinal obstruction,19.0,29034.0
Colorado,85+ years,Male,White,"Gastrointestinal haemorrhage, unspecified",23.0,29034.0
Colorado,85+ years,Male,White,"Chronic kidney disease, stage 5",25.0,29034.0
Colorado,85+ years,Male,White,"Chronic renal failure, unspecified",27.0,29034.0
Colorado,85+ years,Male,White,Unspecified renal failure,17.0,29034.0
Colorado,85+ years,Male,White,"Urinary tract infection, site not specified",20.0,29034.0
Colorado,85+ years,Male,White,Hyperplasia of prostate,11.0,29034.0
Colorado,85+ years,Male,White,Fall on and from stairs and steps,17.0,29034.0
Colorado,85+ years,Male,White,Other fall on same level,40.0,29034.0
Colorado,85+ years,Male,White,Unspecified fall,90.0,29034.0
Colorado,85+ years,Male,White,Inhalation and ingestion of other objects causing obstruction of respiratory tract,12.0,29034.0
Colorado,85+ years,Male,White,Exposure to unspecified factor causing fracture,10.0,29034.0
Colorado,85+ years,Male,White,Intentional self-harm by other and unspecified firearm discharge,11.0,29034.0
Connecticut,20-24 years,Male,Black or African American,Assault by other and unspecified firearm discharge,10.0,20242.0
Connecticut,20-24 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",12.0,100492.0
Connecticut,20-24 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",25.0,100492.0
Connecticut,20-24 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",14.0,100492.0
Connecticut,25-34 years,Female,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",34.0,165178.0
Connecticut,25-34 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",21.0,165178.0
Connecticut,25-34 years,Male,Black or African American,Assault by other and unspecified firearm discharge,15.0,34039.0
Connecticut,25-34 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",17.0,172049.0
Connecticut,25-34 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",106.0,172049.0
Connecticut,25-34 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",48.0,172049.0
Connecticut,25-34 years,Male,White,"Intentional self-harm by hanging, strangulation and suffocation",14.0,172049.0
Connecticut,35-44 years,Female,White,"Breast, unspecified - Malignant neoplasms",16.0,166826.0
Connecticut,35-44 years,Female,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",18.0,166826.0
Connecticut,35-44 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",15.0,166826.0
Connecticut,35-44 years,Male,White,"Atherosclerotic cardiovascular disease, so described",11.0,163351.0
Connecticut,35-44 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",12.0,163351.0
Connecticut,35-44 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",93.0,163351.0
Connecticut,35-44 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",51.0,163351.0
Connecticut,45-54 years,Female,Black or African American,"Breast, unspecified - Malignant neoplasms",22.0,32682.0
Connecticut,45-54 years,Female,White,"Bronchus or lung, unspecified - Malignant neoplasms",35.0,223334.0
Connecticut,45-54 years,Female,White,"Breast, unspecified - Malignant neoplasms",44.0,223334.0
Connecticut,45-54 years,Female,White,Malignant neoplasm of ovary,15.0,223334.0
Connecticut,45-54 years,Female,White,Alcoholic cirrhosis of liver,14.0,223334.0
Connecticut,45-54 years,Female,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",24.0,223334.0
Connecticut,45-54 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",38.0,223334.0
Connecticut,45-54 years,Female,White,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",11.0,223334.0
Connecticut,45-54 years,Male,Black or African American,Hypertensive heart disease without (congestive) heart failure,10.0,27430.0
Connecticut,45-54 years,Male,Black or African American,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",20.0,27430.0
Connecticut,45-54 years,Male,White,"Septicaemia, unspecified",10.0,213487.0
Connecticut,45-54 years,Male,White,"Oesophagus, unspecified - Malignant neoplasms",12.0,213487.0
Connecticut,45-54 years,Male,White,"Colon, unspecified - Malignant neoplasms",12.0,213487.0
Connecticut,45-54 years,Male,White,"Pancreas, unspecified - Malignant neoplasms",12.0,213487.0
Connecticut,45-54 years,Male,White,"Bronchus or lung, unspecified - Malignant neoplasms",27.0,213487.0
Connecticut,45-54 years,Male,White,"Brain, unspecified - Malignant neoplasms",22.0,213487.0
Connecticut,45-54 years,Male,White,Malignant neoplasm without specification of site,12.0,213487.0
Connecticut,45-54 years,Male,White,"Unspecified diabetes mellitus, without complications",20.0,213487.0
Connecticut,45-54 years,Male,White,Hypertensive heart disease without (congestive) heart failure,15.0,213487.0
Connecticut,45-54 years,Male,White,"Acute myocardial infarction, unspecified",17.0,213487.0
Connecticut,45-54 years,Male,White,"Atherosclerotic cardiovascular disease, so described",42.0,213487.0
Connecticut,45-54 years,Male,White,Atherosclerotic heart disease,28.0,213487.0
Connecticut,45-54 years,Male,White,Alcoholic cirrhosis of liver,26.0,213487.0
Connecticut,45-54 years,Male,White,Other and unspecified cirrhosis of liver,16.0,213487.0
Connecticut,45-54 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",83.0,213487.0
Connecticut,45-54 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",51.0,213487.0
Connecticut,45-54 years,Male,White,"Intentional self-harm by hanging, strangulation and suffocation",17.0,213487.0
Connecticut,45-54 years,Male,White,Intentional self-harm by other and unspecified firearm discharge,16.0,213487.0
Connecticut,55-64 years,Female,Black or African American,"Bronchus or lung, unspecified - Malignant neoplasms",10.0,24928.0
Connecticut,55-64 years,Female,Black or African American,"Breast, unspecified - Malignant neoplasms",12.0,24928.0
Connecticut,55-64 years,Female,White,"Septicaemia, unspecified",20.0,226072.0
Connecticut,55-64 years,Female,White,"Colon, unspecified - Malignant neoplasms",30.0,226072.0
Connecticut,55-64 years,Female,White,"Pancreas, unspecified - Malignant neoplasms",42.0,226072.0
Connecticut,55-64 years,Female,White,"Bronchus or lung, unspecified - Malignant neoplasms",115.0,226072.0
Connecticut,55-64 years,Female,White,"Breast, unspecified - Malignant neoplasms",86.0,226072.0
Connecticut,55-64 years,Female,White,"Malignant neoplasm of uterus, part unspecified",10.0,226072.0
Connecticut,55-64 years,Female,White,Malignant neoplasm of ovary,32.0,226072.0
Connecticut,55-64 years,Female,White,"Brain, unspecified - Malignant neoplasms",17.0,226072.0
Connecticut,55-64 years,Female,White,Malignant neoplasm without specification of site,20.0,226072.0
Connecticut,55-64 years,Female,White,Multiple myeloma - Malignant neoplasms,13.0,226072.0
Connecticut,55-64 years,Female,White,Acute myeloid leukaemia - Malignant neoplasms,13.0,226072.0
Connecticut,55-64 years,Female,White,"Unspecified diabetes mellitus, without complications",13.0,226072.0
Connecticut,55-64 years,Female,White,"Acute myocardial infarction, unspecified",13.0,226072.0
Connecticut,55-64 years,Female,White,"Atherosclerotic cardiovascular disease, so described",31.0,226072.0
Connecticut,55-64 years,Female,White,Atherosclerotic heart disease,25.0,226072.0
Connecticut,55-64 years,Female,White,"Cardiac arrest, unspecified",15.0,226072.0
Connecticut,55-64 years,Female,White,"Chronic obstructive pulmonary disease, unspecified",38.0,226072.0
Connecticut,55-64 years,Female,White,Other and unspecified cirrhosis of liver,15.0,226072.0
Connecticut,55-64 years,Female,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",11.0,226072.0
Connecticut,55-64 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",18.0,226072.0
Connecticut,55-64 years,Female,White,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",12.0,226072.0
Connecticut,55-64 years,Male,Black or African American,"Bronchus or lung, unspecified - Malignant neoplasms",13.0,21166.0
Connecticut,55-64 years,Male,Black or African American,"Acute myocardial infarction, unspecified",10.0,21166.0
Connecticut,55-64 years,Male,Black or African American,"Atherosclerotic cardiovascular disease, so described",17.0,21166.0
Connecticut,55-64 years,Male,Black or African American,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",11.0,21166.0
Connecticut,55-64 years,Male,White,"Septicaemia, unspecified",28.0,214530.0
Connecticut,55-64 years,Male,White,Chronic viral hepatitis C,13.0,214530.0
Connecticut,55-64 years,Male,White,"Oesophagus, unspecified - Malignant neoplasms",26.0,214530.0
Connecticut,55-64 years,Male,White,"Colon, unspecified - Malignant neoplasms",23.0,214530.0
Connecticut,55-64 years,Male,White,Liver cell carcinoma - Malignant neoplasms,30.0,214530.0
Connecticut,55-64 years,Male,White,Intrahepatic bile duct carcinoma - Malignant neoplasms,12.0,214530.0
Connecticut,55-64 years,Male,White,"Liver, unspecified - Malignant neoplasms",13.0,214530.0
Connecticut,55-64 years,Male,White,"Pancreas, unspecified - Malignant neoplasms",51.0,214530.0
Connecticut,55-64 years,Male,White,"Bronchus or lung, unspecified - Malignant neoplasms",123.0,214530.0
Connecticut,55-64 years,Male,White,Malignant neoplasm of prostate,21.0,214530.0
Connecticut,55-64 years,Male,White,"Malignant neoplasm of kidney, except renal pelvis",12.0,214530.0
Connecticut,55-64 years,Male,White,"Bladder, unspecified - Malignant neoplasms",13.0,214530.0
Connecticut,55-64 years,Male,White,"Brain, unspecified - Malignant neoplasms",23.0,214530.0
Connecticut,55-64 years,Male,White,Malignant neoplasm without specification of site,26.0,214530.0
Connecticut,55-64 years,Male,White,"Non-insulin-dependent diabetes mellitus, without complications",11.0,214530.0
Connecticut,55-64 years,Male,White,"Unspecified diabetes mellitus, without complications",37.0,214530.0
Connecticut,55-64 years,Male,White,Motor neuron disease,13.0,214530.0
Connecticut,55-64 years,Male,White,Essential (primary) hypertension,13.0,214530.0
Connecticut,55-64 years,Male,White,Hypertensive heart disease without (congestive) heart failure,35.0,214530.0
Connecticut,55-64 years,Male,White,"Acute myocardial infarction, unspecified",71.0,214530.0
Connecticut,55-64 years,Male,White,"Atherosclerotic cardiovascular disease, so described",122.0,214530.0
Connecticut,55-64 years,Male,White,Atherosclerotic heart disease,73.0,214530.0
Connecticut,55-64 years,Male,White,"Cardiomyopathy, unspecified",14.0,214530.0
Connecticut,55-64 years,Male,White,"Cardiac arrest, unspecified",22.0,214530.0
Connecticut,55-64 years,Male,White,"Cardiac arrhythmia, unspecified",11.0,214530.0
Connecticut,55-64 years,Male,White,Congestive heart failure,15.0,214530.0
Connecticut,55-64 years,Male,White,"Stroke, not specified as haemorrhage or infarction",12.0,214530.0
Connecticut,55-64 years,Male,White,"Pneumonia, unspecified",18.0,214530.0
Connecticut,55-64 years,Male,White,"Chronic obstructive pulmonary disease, unspecified",36.0,214530.0
Connecticut,55-64 years,Male,White,Pneumonitis due to food and vomit,12.0,214530.0
Connecticut,55-64 years,Male,White,Alcoholic cirrhosis of liver,41.0,214530.0
Connecticut,55-64 years,Male,White,Other and unspecified cirrhosis of liver,38.0,214530.0
Connecticut,55-64 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",13.0,214530.0
Connecticut,55-64 years,Male,White,Unspecified fall,13.0,214530.0
Connecticut,55-64 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",58.0,214530.0
Connecticut,55-64 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",34.0,214530.0
Connecticut,55-64 years,Male,White,"Intentional self-harm by hanging, strangulation and suffocation",18.0,214530.0
Connecticut,55-64 years,Male,White,Intentional self-harm by other and unspecified firearm discharge,16.0,214530.0
Connecticut,65-74 years,Female,Black or African American,"Pancreas, unspecified - Malignant neoplasms",10.0,14748.0
Connecticut,65-74 years,Female,Black or African American,"Bronchus or lung, unspecified - Malignant neoplasms",16.0,14748.0
Connecticut,65-74 years,Female,Black or African American,"Breast, unspecified - Malignant neoplasms",11.0,14748.0
Connecticut,65-74 years,Female,White,"Septicaemia, unspecified",38.0,153369.0
Connecticut,65-74 years,Female,White,"Colon, unspecified - Malignant neoplasms",28.0,153369.0
Connecticut,65-74 years,Female,White,Intrahepatic bile duct carcinoma - Malignant neoplasms,11.0,153369.0
Connecticut,65-74 years,Female,White,"Pancreas, unspecified - Malignant neoplasms",51.0,153369.0
Connecticut,65-74 years,Female,White,"Bronchus or lung, unspecified - Malignant neoplasms",206.0,153369.0
Connecticut,65-74 years,Female,White,"Breast, unspecified - Malignant neoplasms",90.0,153369.0
Connecticut,65-74 years,Female,White,Endometrium - Malignant neoplasms,13.0,153369.0
Connecticut,65-74 years,Female,White,"Malignant neoplasm of uterus, part unspecified",14.0,153369.0
