Occupation,Hierarchy Levels,variable,value
" Laborers and freight, stock, and material movers, hand ",3,Violence and other injuries by persons or animals,8
" Education, training, and library occupations ",0,Transportation incidents,8
" Sales representatives, wholesale and manufacturing ",1,Transportation incidents,8
" Sales representatives, wholesale and manufacturing ",2,Transportation incidents,8
" Paving, surfacing, and tamping equipment operators ",3,Transportation incidents,8
" Bus drivers, transit and intercity ",3,Transportation incidents,8
 Automotive technicians and repairers ,2,Fires and explosions,8
 Automotive service technicians and mechanics ,3,Fires and explosions,8
 Metal workers and plastic workers ,1,Fires and explosions,8
 Healthcare support occupations ,0,"Falls, slips, trips",8
 Other construction and related workers ,1,"Falls, slips, trips",8
" Welding, soldering, and brazing workers ",2,"Falls, slips, trips",8
" Welders, cutters, solderers, and brazers ",3,"Falls, slips, trips",8
" Nursing, psychiatric, and home health aides ",1,Exposure to harmful substances or environments,8
" Nursing, psychiatric, and home health aides ",2,Exposure to harmful substances or environments,8
 Food and beverage serving workers ,1,Exposure to harmful substances or environments,8
 Retail salespersons ,2,Exposure to harmful substances or environments,8
 Retail salespersons ,3,Exposure to harmful substances or environments,8
 Other production occupations ,1,Exposure to harmful substances or environments,8
" Supervisors of farming, fishing, and forestry workers ",1,Contact with objects and equipment,8
" First-line supervisors of farming, fishing, and forestry workers ",2,Contact with objects and equipment,8
" First-line supervisors of farming, fishing, and forestry workers ",3,Contact with objects and equipment,8
" Pipelayers, plumbers, pipefitters, and steamfitters ",2,Contact with objects and equipment,8
 Industrial machinery mechanics ,3,Contact with objects and equipment,8
 Supervisors of production workers ,1,Contact with objects and equipment,8
 First-line supervisors of production and operating workers ,2,Contact with objects and equipment,8
 First-line supervisors of production and operating workers ,3,Contact with objects and equipment,8
 Sales managers ,3,Total fatal injuries (number),7
 Social workers ,2,Total fatal injuries (number),7
 Media and communication workers ,1,Total fatal injuries (number),7
 Other healthcare support occupations ,1,Total fatal injuries (number),7
 Chefs and head cooks ,3,Total fatal injuries (number),7
 Other food preparation and serving related workers ,1,Total fatal injuries (number),7
 Nonfarm animal caretakers ,2,Total fatal injuries (number),7
 Nonfarm animal caretakers ,3,Total fatal injuries (number),7
 Entertainment attendants and related workers ,1,Total fatal injuries (number),7
 Tour and travel guides ,1,Total fatal injuries (number),7
 Tour and travel guides ,2,Total fatal injuries (number),7
 Recreation workers ,3,Total fatal injuries (number),7
 Logging equipment operators ,3,Total fatal injuries (number),7
" Carpet, floor, and tile installers and finishers ",2,Total fatal injuries (number),7
 Pipelayers ,3,Total fatal injuries (number),7
" Derrick operators, oil and gas ",3,Total fatal injuries (number),7
" Rotary drill operators, oil and gas ",3,Total fatal injuries (number),7
" Machine tool cutting setters, operators, and tenders, metal and plastic ",2,Total fatal injuries (number),7
" Sawing machine setters, operators, and tenders, wood ",3,Total fatal injuries (number),7
 Water and wastewater treatment plant and system operators ,2,Total fatal injuries (number),7
 Water and wastewater treatment plant and system operators ,3,Total fatal injuries (number),7
" Airline pilots, copilots, and flight engineers ",3,Total fatal injuries (number),7
 General and operations managers ,2,Violence and other injuries by persons or animals,7
 General and operations managers ,3,Violence and other injuries by persons or animals,7
 Community and social services occupations ,0,Violence and other injuries by persons or animals,7
" Counselors, social workers, and other community and social service specialists ",1,Violence and other injuries by persons or animals,7
 Art and design workers ,1,Violence and other injuries by persons or animals,7
 Health technologists and technicians ,1,Violence and other injuries by persons or animals,7
 First-line supervisors of law enforcement workers ,2,Violence and other injuries by persons or animals,7
 First-line supervisors of police and detectives ,3,Violence and other injuries by persons or animals,7
" Cooks, restaurant ",3,Violence and other injuries by persons or animals,7
 Bartenders ,2,Violence and other injuries by persons or animals,7
 Bartenders ,3,Violence and other injuries by persons or animals,7
 Fast food and counter workers ,2,Violence and other injuries by persons or animals,7
" Combined food preparation and serving workers, including fast food ",3,Violence and other injuries by persons or animals,7
 Grounds maintenance workers ,1,Violence and other injuries by persons or animals,7
 Grounds maintenance workers ,2,Violence and other injuries by persons or animals,7
 Landscaping and groundskeeping workers ,3,Violence and other injuries by persons or animals,7
" Counselors, social workers, and other community and social service specialists ",1,Transportation incidents,7
 Media and communication equipment workers ,1,Transportation incidents,7
 Registered nurses ,2,Transportation incidents,7
 Registered nurses ,3,Transportation incidents,7
 Other personal care and service workers ,1,Transportation incidents,7
 Other sales and related workers ,1,Transportation incidents,7
" Forest, conservation, and logging workers ",1,Transportation incidents,7
 Logging workers ,2,Transportation incidents,7
" Roustabouts, oil and gas ",2,Transportation incidents,7
" Roustabouts, oil and gas ",3,Transportation incidents,7
" Industrial machinery installation, repair, and maintenance workers ",2,Transportation incidents,7
" Welding, soldering, and brazing workers ",2,Transportation incidents,7
" Welders, cutters, solderers, and brazers ",3,Transportation incidents,7
 Plant and system operators ,1,Transportation incidents,7
" Airline pilots, copilots, and flight engineers ",3,Transportation incidents,7
 Railroad conductors and yardmasters ,2,Transportation incidents,7
 Railroad conductors and yardmasters ,3,Transportation incidents,7
 Sailors and marine oilers ,2,Transportation incidents,7
 Sailors and marine oilers ,3,Transportation incidents,7
" Dredge, excavating, and loading machine operators ",2,Transportation incidents,7
 Excavating and loading machine and dragline operators ,3,Transportation incidents,7
" Farmers, ranchers, and other agricultural managers ",2,Fires and explosions,7
" Farmers, ranchers, and other agricultural managers ",3,Fires and explosions,7
 Fire fighting and prevention workers ,1,Fires and explosions,7
 Firefighters ,2,Fires and explosions,7
 Firefighters ,3,Fires and explosions,7
 Extraction workers ,1,Fires and explosions,7
" Welding, soldering, and brazing workers ",2,Fires and explosions,7
" Welders, cutters, solderers, and brazers ",3,Fires and explosions,7
 Other production occupations ,1,Fires and explosions,7
 Material moving workers ,1,Fires and explosions,7
" Nursing, psychiatric, and home health aides ",1,"Falls, slips, trips",7
" Nursing, psychiatric, and home health aides ",2,"Falls, slips, trips",7
 Structural iron and steel workers ,2,"Falls, slips, trips",7
 Structural iron and steel workers ,3,"Falls, slips, trips",7
 Other personal care and service workers ,1,Exposure to harmful substances or environments,7
" Farmworkers, farm, ranch, and aquacultural animals ",3,Exposure to harmful substances or environments,7
 Automotive technicians and repairers ,2,Exposure to harmful substances or environments,7
 Cleaners of vehicles and equipment ,3,Exposure to harmful substances or environments,7
 Electricians ,2,Contact with objects and equipment,7
 Electricians ,3,Contact with objects and equipment,7
 Other construction and related workers ,1,Contact with objects and equipment,7
" Miscellaneous installation, maintenance, and repair workers ",2,Contact with objects and equipment,7
 Miscellaneous business operations specialists ,2,Total fatal injuries (number),6
 Accountants and auditors ,2,Total fatal injuries (number),6
 Accountants and auditors ,3,Total fatal injuries (number),6
" Architects, surveyors, and cartographers ",1,Total fatal injuries (number),6
" Surveyors, cartographers, and photogrammetrists ",2,Total fatal injuries (number),6
 Surveyors ,3,Total fatal injuries (number),6
 Religious workers ,1,Total fatal injuries (number),6
 Other teachers and instructors ,1,Total fatal injuries (number),6
" Musicians, singers, and related workers ",2,Total fatal injuries (number),6
 Musicians and singers ,3,Total fatal injuries (number),6
 Physicians and surgeons ,2,Total fatal injuries (number),6
 Health practitioner support technologists and technicians ,2,Total fatal injuries (number),6
 Miscellaneous healthcare support occupations ,2,Total fatal injuries (number),6
 Detectives and criminal investigators ,2,Total fatal injuries (number),6
 Detectives and criminal investigators ,3,Total fatal injuries (number),6
 Personal appearance workers ,1,Total fatal injuries (number),6
 Tour guides and escorts ,3,Total fatal injuries (number),6
 Counter and rental clerks and parts salespersons ,2,Total fatal injuries (number),6
 Real estate sales agents ,3,Total fatal injuries (number),6
 Miscellaneous construction and related workers ,2,Total fatal injuries (number),6
" Service unit operators, oil, gas, and mining ",3,Total fatal injuries (number),6
 Painting workers ,2,Total fatal injuries (number),6
" Bus drivers, school or special client ",3,Total fatal injuries (number),6
 Wellhead pumpers ,3,Total fatal injuries (number),6
 Operations specialties managers ,1,Violence and other injuries by persons or animals,6
 Lodging managers ,2,Violence and other injuries by persons or animals,6
 Lodging managers ,3,Violence and other injuries by persons or animals,6
 Financial specialists ,1,Violence and other injuries by persons or animals,6
 Computer and mathematical occupations ,0,Violence and other injuries by persons or animals,6
 Computer occupations ,1,Violence and other injuries by persons or animals,6
" Lawyers, judges, and related workers ",1,Violence and other injuries by persons or animals,6
" Bailiffs, correctional officers, and jailers ",2,Violence and other injuries by persons or animals,6
 Correctional officers and jailers ,3,Violence and other injuries by persons or animals,6
" Janitors and cleaners, except maids and housekeeping cleaners ",3,Violence and other injuries by persons or animals,6
 Animal care and service workers ,1,Violence and other injuries by persons or animals,6
 Other personal care and service workers ,1,Violence and other injuries by persons or animals,6
 Stock clerks and order fillers ,2,Violence and other injuries by persons or animals,6
 Stock clerks and order fillers ,3,Violence and other injuries by persons or animals,6
 Other transportation workers ,1,Violence and other injuries by persons or animals,6
 General and operations managers ,2,Transportation incidents,6
 General and operations managers ,3,Transportation incidents,6
" Advertising, marketing, promotions, public relations, and sales managers ",1,Transportation incidents,6
 Marketing and sales managers ,2,Transportation incidents,6
" Architects, surveyors, and cartographers ",1,Transportation incidents,6
" Surveyors, cartographers, and photogrammetrists ",2,Transportation incidents,6
 Surveyors ,3,Transportation incidents,6
 First-line supervisors of fire fighting and prevention workers ,2,Transportation incidents,6
 First-line supervisors of fire fighting and prevention workers ,3,Transportation incidents,6
 Retail salespersons ,2,Transportation incidents,6
 Retail salespersons ,3,Transportation incidents,6
" Sales representatives, wholesale and manufacturing, except technical and scientific products ",3,Transportation incidents,6
" Supervisors of farming, fishing, and forestry workers ",1,Transportation incidents,6
" First-line supervisors of farming, fishing, and forestry workers ",2,Transportation incidents,6
" First-line supervisors of farming, fishing, and forestry workers ",3,Transportation incidents,6
" Brickmasons, blockmasons, and stonemasons ",2,Transportation incidents,6
 Construction and building inspectors ,2,Transportation incidents,6
 Construction and building inspectors ,3,Transportation incidents,6
" Derrick, rotary drill, and service unit operators, oil, gas, and mining ",2,Transportation incidents,6
" Supervisors of installation, maintenance, and repair workers ",1,Transportation incidents,6
" First-line supervisors of mechanics, installers, and repairers ",2,Transportation incidents,6
" First-line supervisors of mechanics, installers, and repairers ",3,Transportation incidents,6
 Farm equipment mechanics and service technicians ,3,Transportation incidents,6
 Other production occupations ,1,Transportation incidents,6
" Other installation, maintenance, and repair occupations ",1,Fires and explosions,6
" Preschool, primary, secondary, and special education school teachers ",1,"Falls, slips, trips",6
 Miscellaneous protective service workers ,2,"Falls, slips, trips",6
 Cooks and food preparation workers ,1,"Falls, slips, trips",6
 First-line supervisors of retail sales workers ,3,"Falls, slips, trips",6
" Drywall installers, ceiling tile installers, and tapers ",2,"Falls, slips, trips",6
 Insulation workers ,2,"Falls, slips, trips",6
" Pipelayers, plumbers, pipefitters, and steamfitters ",2,"Falls, slips, trips",6
" Helpers, construction trades ",1,"Falls, slips, trips",6
" Helpers, construction trades ",2,"Falls, slips, trips",6
 Miscellaneous production workers ,2,"Falls, slips, trips",6
" Farmers, ranchers, and other agricultural managers ",2,Exposure to harmful substances or environments,6
" Farmers, ranchers, and other agricultural managers ",3,Exposure to harmful substances or environments,6
 Health diagnosing and treating practitioners ,1,Exposure to harmful substances or environments,6
 Fire fighting and prevention workers ,1,Exposure to harmful substances or environments,6
 Firefighters ,2,Exposure to harmful substances or environments,6
 Firefighters ,3,Exposure to harmful substances or environments,6
 Supervisors of sales workers ,1,Exposure to harmful substances or environments,6
 First-line supervisors of sales workers ,2,Exposure to harmful substances or environments,6
 Fishing and hunting workers ,1,Exposure to harmful substances or environments,6
 Fishers and related fishing workers ,2,Exposure to harmful substances or environments,6
 Fishers and related fishing workers ,3,Exposure to harmful substances or environments,6
" Pipelayers, plumbers, pipefitters, and steamfitters ",2,Exposure to harmful substances or environments,6
 Other construction and related workers ,1,Exposure to harmful substances or environments,6
 Extraction workers ,1,Exposure to harmful substances or environments,6
" Supervisors of installation, maintenance, and repair workers ",1,Exposure to harmful substances or environments,6
" First-line supervisors of mechanics, installers, and repairers ",2,Exposure to harmful substances or environments,6
" First-line supervisors of mechanics, installers, and repairers ",3,Exposure to harmful substances or environments,6
" Electrical and electronic equipment mechanics, installers, and repairers ",1,Exposure to harmful substances or environments,6
 Automotive service technicians and mechanics ,3,Exposure to harmful substances or environments,6
" Welding, soldering, and brazing workers ",2,Exposure to harmful substances or environments,6
" Welders, cutters, solderers, and brazers ",3,Exposure to harmful substances or environments,6
" Derrick, rotary drill, and service unit operators, oil, gas, and mining ",2,Contact with objects and equipment,6
 Mining machine operators ,2,Contact with objects and equipment,6
" Claims adjusters, appraisers, examiners, and investigators ",2,Total fatal injuries (number),5
" Claims adjusters, examiners, and investigators ",3,Total fatal injuries (number),5
 Financial analysts and advisors ,2,Total fatal injuries (number),5
 Computer and information analysts ,2,Total fatal injuries (number),5
 Mechanical engineers ,2,Total fatal injuries (number),5
 Mechanical engineers ,3,Total fatal injuries (number),5
 Postsecondary teachers ,1,Total fatal injuries (number),5
 Miscellaneous postsecondary teachers ,2,Total fatal injuries (number),5
" Elementary school teachers, except special education ",3,Total fatal injuries (number),5
" Miscellaneous entertainers and performers, sports and related workers ",2,Total fatal injuries (number),5
 Therapists ,2,Total fatal injuries (number),5
 Pest control workers ,2,Total fatal injuries (number),5
 Pest control workers ,3,Total fatal injuries (number),5
 Animal trainers ,2,Total fatal injuries (number),5
 Animal trainers ,3,Total fatal injuries (number),5
 Parts salespersons ,3,Total fatal injuries (number),5
" Miscellaneous sales representatives, services ",2,Total fatal injuries (number),5
 Couriers and messengers ,2,Total fatal injuries (number),5
 Couriers and messengers ,3,Total fatal injuries (number),5
 Sheet metal workers ,2,Total fatal injuries (number),5
 Sheet metal workers ,3,Total fatal injuries (number),5
 Rail-track laying and maintenance equipment operators ,2,Total fatal injuries (number),5
 Rail-track laying and maintenance equipment operators ,3,Total fatal injuries (number),5
 Miscellaneous extraction workers ,2,Total fatal injuries (number),5
" Telecommunications equipment installers and repairers, except line installers ",3,Total fatal injuries (number),5
" Textile, apparel, and furnishings workers ",1,Total fatal injuries (number),5
" Petroleum pump system operators, refinery operators, and gaugers ",3,Total fatal injuries (number),5
 Automotive and watercraft service attendants ,2,Total fatal injuries (number),5
 Automotive and watercraft service attendants ,3,Total fatal injuries (number),5
" Packers and packagers, hand ",3,Total fatal injuries (number),5
 Lawyers and judicial law clerks ,2,Violence and other injuries by persons or animals,5
 Lawyers ,3,Violence and other injuries by persons or animals,5
 Media and communication workers ,1,Violence and other injuries by persons or animals,5
 Healthcare support occupations ,0,Violence and other injuries by persons or animals,5
 Detectives and criminal investigators ,2,Violence and other injuries by persons or animals,5
 Detectives and criminal investigators ,3,Violence and other injuries by persons or animals,5
 Food preparation workers ,2,Violence and other injuries by persons or animals,5
 Food preparation workers ,3,Violence and other injuries by persons or animals,5
 Miscellaneous sales and related workers ,2,Violence and other injuries by persons or animals,5
" Pipelayers, plumbers, pipefitters, and steamfitters ",2,Violence and other injuries by persons or animals,5
" Plumbers, pipefitters, and steamfitters ",3,Violence and other injuries by persons or animals,5
 Supervisors of production workers ,1,Violence and other injuries by persons or animals,5
 First-line supervisors of production and operating workers ,2,Violence and other injuries by persons or animals,5
 First-line supervisors of production and operating workers ,3,Violence and other injuries by persons or animals,5
 Other production occupations ,1,Violence and other injuries by persons or animals,5
 Sales managers ,3,Transportation incidents,5
 Financial specialists ,1,Transportation incidents,5
 Legal occupations ,0,Transportation incidents,5
 Photographers ,2,Transportation incidents,5
 Photographers ,3,Transportation incidents,5
 Therapists ,2,Transportation incidents,5
 Healthcare support occupations ,0,Transportation incidents,5
 Recreation and fitness workers ,2,Transportation incidents,5
 Recreation workers ,3,Transportation incidents,5
 First-line supervisors of non-retail sales workers ,3,Transportation incidents,5
 Real estate brokers and sales agents ,2,Transportation incidents,5
 Security and fire alarm systems installers ,3,Transportation incidents,5
 Automotive technicians and repairers ,2,Transportation incidents,5
" Mobile heavy equipment mechanics, except engines ",3,Transportation incidents,5
 Telecommunications line installers and repairers ,3,Transportation incidents,5
 First-line supervisors of transportation and material-moving machine and vehicle operators ,2,Transportation incidents,5
 First-line supervisors of transportation and material-moving machine and vehicle operators ,3,Transportation incidents,5
 Other transportation workers ,1,Transportation incidents,5
 Cleaners of vehicles and equipment ,3,Transportation incidents,5
 Pumping station operators ,2,Transportation incidents,5
 Wellhead pumpers ,3,Transportation incidents,5
" Farming, fishing, and forestry occupations ",0,Fires and explosions,5
 Agricultural workers ,1,Fires and explosions,5
 Miscellaneous agricultural workers ,2,Fires and explosions,5
" Property, real estate, and community association managers ",2,"Falls, slips, trips",5
" Property, real estate, and community association managers ",3,"Falls, slips, trips",5
 Business and financial operations occupations ,0,"Falls, slips, trips",5
 Elementary and middle school teachers ,2,"Falls, slips, trips",5
 Security guards and gaming surveillance officers ,2,"Falls, slips, trips",5
 Security guards ,3,"Falls, slips, trips",5
" Material recording, scheduling, dispatching, and distributing workers ",1,"Falls, slips, trips",5
 Drywall and ceiling tile installers ,3,"Falls, slips, trips",5
" Plumbers, pipefitters, and steamfitters ",3,"Falls, slips, trips",5
" Supervisors of installation, maintenance, and repair workers ",1,"Falls, slips, trips",5
" First-line supervisors of mechanics, installers, and repairers ",2,"Falls, slips, trips",5
" First-line supervisors of mechanics, installers, and repairers ",3,"Falls, slips, trips",5
" Electrical and electronic equipment mechanics, installers, and repairers ",1,"Falls, slips, trips",5
 Supervisors of production workers ,1,"Falls, slips, trips",5
 First-line supervisors of production and operating workers ,2,"Falls, slips, trips",5
 First-line supervisors of production and operating workers ,3,"Falls, slips, trips",5
" Arts, design, entertainment, sports, and media occupations ",0,Exposure to harmful substances or environments,5
 Health technologists and technicians ,1,Exposure to harmful substances or environments,5
 Other protective service workers ,1,Exposure to harmful substances or environments,5
 Supervisors of food preparation and serving workers ,1,Exposure to harmful substances or environments,5
 First-line supervisors of food preparation and serving workers ,2,Exposure to harmful substances or environments,5
 Supervisors of building and grounds cleaning and maintenance workers ,1,Exposure to harmful substances or environments,5
 First-line supervisors of building and grounds cleaning and maintenance workers ,2,Exposure to harmful substances or environments,5
 Personal care aides ,2,Exposure to harmful substances or environments,5
 Personal care aides ,3,Exposure to harmful substances or environments,5
" Material recording, scheduling, dispatching, and distributing workers ",1,Exposure to harmful substances or environments,5
 Machinists ,2,Exposure to harmful substances or environments,5
 Machinists ,3,Exposure to harmful substances or environments,5
 Plant and system operators ,1,Exposure to harmful substances or environments,5
 Industrial truck and tractor operators ,2,Exposure to harmful substances or environments,5
 Industrial truck and tractor operators ,3,Exposure to harmful substances or environments,5
 Protective service occupations ,0,Contact with objects and equipment,5
 First-line supervisors of retail sales workers ,3,Contact with objects and equipment,5
 First-line supervisors of non-retail sales workers ,3,Contact with objects and equipment,5
 Retail sales workers ,1,Contact with objects and equipment,5
 Retail salespersons ,2,Contact with objects and equipment,5
 Retail salespersons ,3,Contact with objects and equipment,5
" Plumbers, pipefitters, and steamfitters ",3,Contact with objects and equipment,5
" Supervisors, transportation and material moving workers ",1,Contact with objects and equipment,5
 Light truck or delivery services drivers ,3,Contact with objects and equipment,5
 Industrial production managers ,2,Total fatal injuries (number),4
 Industrial production managers ,3,Total fatal injuries (number),4
" Transportation, storage, and distribution managers ",2,Total fatal injuries (number),4
" Transportation, storage, and distribution managers ",3,Total fatal injuries (number),4
 Education administrators ,2,Total fatal injuries (number),4
 Medical and health services managers ,2,Total fatal injuries (number),4
 Medical and health services managers ,3,Total fatal injuries (number),4
 Miscellaneous managers ,2,Total fatal injuries (number),4
 Software developers and programmers ,2,Total fatal injuries (number),4
 Electrical and electronics engineers ,2,Total fatal injuries (number),4
" Drafters, engineering technicians, and mapping technicians ",1,Total fatal injuries (number),4
" Engineering technicians, except drafters ",2,Total fatal injuries (number),4
 Biological scientists ,2,Total fatal injuries (number),4
 Social scientists and related workers ,1,Total fatal injuries (number),4
" Life, physical, and social science technicians ",1,Total fatal injuries (number),4
" Child, family, and school social workers ",3,Total fatal injuries (number),4
 Legal support workers ,1,Total fatal injuries (number),4
" Vocational education teachers, postsecondary ",3,Total fatal injuries (number),4
 Self-enrichment education teachers ,2,Total fatal injuries (number),4
 Self-enrichment education teachers ,3,Total fatal injuries (number),4
 Broadcast and sound engineering technicians and radio operators ,2,Total fatal injuries (number),4
 Veterinarians ,2,Total fatal injuries (number),4
 Veterinarians ,3,Total fatal injuries (number),4
 Licensed practical and licensed vocational nurses ,2,Total fatal injuries (number),4
 Licensed practical and licensed vocational nurses ,3,Total fatal injuries (number),4
" Miscellaneous first-line supervisors, protective service workers ",2,Total fatal injuries (number),4
 Miscellaneous entertainment attendants and related workers ,2,Total fatal injuries (number),4
 Amusement and recreation attendants ,3,Total fatal injuries (number),4
 Funeral service workers ,1,Total fatal injuries (number),4
" Barbers, hairdressers, hairstylists and cosmetologists ",2,Total fatal injuries (number),4
 Insurance sales agents ,2,Total fatal injuries (number),4
 Insurance sales agents ,3,Total fatal injuries (number),4
 Financial clerks ,1,Total fatal injuries (number),4
" Shipping, receiving, and traffic clerks ",2,Total fatal injuries (number),4
" Shipping, receiving, and traffic clerks ",3,Total fatal injuries (number),4
 Solar photovoltaic installers ,2,Total fatal injuries (number),4
 Solar photovoltaic installers ,3,Total fatal injuries (number),4
 Fence erectors ,2,Total fatal injuries (number),4
 Fence erectors ,3,Total fatal injuries (number),4
 Septic tank servicers and sewer pipe cleaners ,2,Total fatal injuries (number),4
 Septic tank servicers and sewer pipe cleaners ,3,Total fatal injuries (number),4
 Helpers--extraction workers ,2,Total fatal injuries (number),4
 Helpers--extraction workers ,3,Total fatal injuries (number),4
" Radio, cellular, and tower equipment installers and repairers ",3,Total fatal injuries (number),4
 Motorcycle mechanics ,3,Total fatal injuries (number),4
 Bakers ,2,Total fatal injuries (number),4
 Bakers ,3,Total fatal injuries (number),4
" Cutting, punching, and press machine setters, operators, and tenders, metal and plastic ",3,Total fatal injuries (number),4
 Laundry and dry-cleaning workers ,2,Total fatal injuries (number),4
 Laundry and dry-cleaning workers ,3,Total fatal injuries (number),4
" Painters, transportation equipment ",3,Total fatal injuries (number),4
 Business operations specialists ,1,Violence and other injuries by persons or animals,4
 Life scientists ,1,Violence and other injuries by persons or animals,4
 Social scientists and related workers ,1,Violence and other injuries by persons or animals,4
 Social workers ,2,Violence and other injuries by persons or animals,4
 Designers ,2,Violence and other injuries by persons or animals,4
" Musicians, singers, and related workers ",2,Violence and other injuries by persons or animals,4
 Musicians and singers ,3,Violence and other injuries by persons or animals,4
 Media and communication equipment workers ,1,Violence and other injuries by persons or animals,4
 Health practitioner support technologists and technicians ,2,Violence and other injuries by persons or animals,4
" Nursing, psychiatric, and home health aides ",1,Violence and other injuries by persons or animals,4
" Nursing, psychiatric, and home health aides ",2,Violence and other injuries by persons or animals,4
 Home health aides ,3,Violence and other injuries by persons or animals,4
 Nonfarm animal caretakers ,2,Violence and other injuries by persons or animals,4
 Nonfarm animal caretakers ,3,Violence and other injuries by persons or animals,4
 Entertainment attendants and related workers ,1,Violence and other injuries by persons or animals,4
 Personal appearance workers ,1,Violence and other injuries by persons or animals,4
 Personal care aides ,2,Violence and other injuries by persons or animals,4
 Personal care aides ,3,Violence and other injuries by persons or animals,4
 Supervisors of office and administrative support workers ,1,Violence and other injuries by persons or animals,4
 First-line supervisors of office and administrative support workers ,2,Violence and other injuries by persons or animals,4
 First-line supervisors of office and administrative support workers ,3,Violence and other injuries by persons or animals,4
 Information and record clerks ,1,Violence and other injuries by persons or animals,4
" Farmworkers and laborers, crop, nursery, and greenhouse ",3,Violence and other injuries by persons or animals,4
 Automotive body and related repairers ,3,Violence and other injuries by persons or animals,4
" Supervisors, transportation and material moving workers ",1,Violence and other injuries by persons or animals,4
 Automotive and watercraft service attendants ,2,Violence and other injuries by persons or animals,4
 Automotive and watercraft service attendants ,3,Violence and other injuries by persons or animals,4
 Miscellaneous business operations specialists ,2,Transportation incidents,4
 Computer and mathematical occupations ,0,Transportation incidents,4
 Computer occupations ,1,Transportation incidents,4
" Life, physical, and social science occupations ",0,Transportation incidents,4
 Religious workers ,1,Transportation incidents,4
" Lawyers, judges, and related workers ",1,Transportation incidents,4
 Lawyers and judicial law clerks ,2,Transportation incidents,4
 Lawyers ,3,Transportation incidents,4
" Preschool, primary, secondary, and special education school teachers ",1,Transportation incidents,4
 Food preparation and serving related occupations ,0,Transportation incidents,4
 First-line supervisors of housekeeping and janitorial workers ,3,Transportation incidents,4
 Tree trimmers and pruners ,3,Transportation incidents,4
 Animal care and service workers ,1,Transportation incidents,4
 First-line supervisors of retail sales workers ,3,Transportation incidents,4
 Couriers and messengers ,2,Transportation incidents,4
 Couriers and messengers ,3,Transportation incidents,4
 Agricultural equipment operators ,3,Transportation incidents,4
 Brickmasons and blockmasons ,3,Transportation incidents,4
" Carpet, floor, and tile installers and finishers ",2,Transportation incidents,4
 Roofers ,2,Transportation incidents,4
 Roofers ,3,Transportation incidents,4
 Industrial machinery mechanics ,3,Transportation incidents,4
 Supervisors of production workers ,1,Transportation incidents,4
 First-line supervisors of production and operating workers ,2,Transportation incidents,4
 First-line supervisors of production and operating workers ,3,Transportation incidents,4
 Miscellaneous plant and system operators ,2,Transportation incidents,4
" First-line supervisors of helpers, laborers, and material movers, hand ",2,Transportation incidents,4
" First-line supervisors of helpers, laborers, and material movers, hand ",3,Transportation incidents,4
 Supervisors of protective service workers ,1,Fires and explosions,4
 First-line supervisors of fire fighting and prevention workers ,2,Fires and explosions,4
 First-line supervisors of fire fighting and prevention workers ,3,Fires and explosions,4
 Supervisors of construction and extraction workers ,1,Fires and explosions,4
 First-line supervisors of construction trades and extraction workers ,2,Fires and explosions,4
 First-line supervisors of construction trades and extraction workers ,3,Fires and explosions,4
 Construction equipment operators ,2,Fires and explosions,4
 Motor vehicle operators ,1,Fires and explosions,4
 Driver/sales workers and truck drivers ,2,Fires and explosions,4
 Heavy and tractor-trailer truck drivers ,3,Fires and explosions,4
 Architecture and engineering occupations ,0,"Falls, slips, trips",4
 Engineers ,1,"Falls, slips, trips",4
" Life, physical, and social science occupations ",0,"Falls, slips, trips",4
 Art and design workers ,1,"Falls, slips, trips",4
 Designers ,2,"Falls, slips, trips",4
 Nursing assistants ,3,"Falls, slips, trips",4
 Cooks ,2,"Falls, slips, trips",4
 Food and beverage serving workers ,1,"Falls, slips, trips",4
 First-line supervisors of housekeeping and janitorial workers ,3,"Falls, slips, trips",4
 Personal care and service occupations ,0,"Falls, slips, trips",4
 Stock clerks and order fillers ,2,"Falls, slips, trips",4
 Stock clerks and order fillers ,3,"Falls, slips, trips",4
" Cement masons, concrete finishers, and terrazzo workers ",2,"Falls, slips, trips",4
 Cement masons and concrete finishers ,3,"Falls, slips, trips",4
" Insulation workers, floor, ceiling, and wall ",3,"Falls, slips, trips",4
 Extraction workers ,1,"Falls, slips, trips",4
 Radio and telecommunications equipment installers and repairers ,2,"Falls, slips, trips",4
 Bus and truck mechanics and diesel engine specialists ,2,"Falls, slips, trips",4
 Bus and truck mechanics and diesel engine specialists ,3,"Falls, slips, trips",4
" Miscellaneous installation, maintenance, and repair workers ",2,"Falls, slips, trips",4
 Bus drivers ,2,"Falls, slips, trips",4
 Light truck or delivery services drivers ,3,"Falls, slips, trips",4
 Registered nurses ,2,Exposure to harmful substances or environments,4
 Registered nurses ,3,Exposure to harmful substances or environments,4
 Home health aides ,3,Exposure to harmful substances or environments,4
 Nursing assistants ,3,Exposure to harmful substances or environments,4
 Law enforcement workers ,1,Exposure to harmful substances or environments,4
 Chefs and head cooks ,3,Exposure to harmful substances or environments,4
 Fast food and counter workers ,2,Exposure to harmful substances or environments,4
 Waiters and waitresses ,2,Exposure to harmful substances or environments,4
 Waiters and waitresses ,3,Exposure to harmful substances or environments,4
 Maids and housekeeping cleaners ,3,Exposure to harmful substances or environments,4
 First-line supervisors of retail sales workers ,3,Exposure to harmful substances or environments,4
